PURCHASE EVENTS: 2026-07-01 to 2026-07-07
Date         Transaction ID        Ecommerce Purchases   Purchase Revenue
----------------------------------------------------------------------------
2026-07-07   6617729564811                           1             208.00
2026-07-07   6617764757643                           1             119.20
2026-07-07   6617775636619                           1             110.40
2026-07-07   6618200408203                           1              71.20
2026-07-07   6618384793739                           1             214.40
2026-07-07   6618394919051                           1             179.10
2026-07-07   6618410582155                           1              59.00
2026-07-07   6618481983627                           1             268.00
2026-07-07   6618500857995                           1             135.20
2026-07-07   6618506461323                           1             135.46
2026-07-07   6618528546955                           1             197.10
2026-07-07   6618548043915                           1             208.00
2026-07-07   6618579992715                           1             158.00
2026-07-07   6618651328651                           1             179.10
2026-07-07   6618785349771                           1             314.20
2026-07-07   6618804060299                           1             141.60
2026-07-07   6618831913099                           1             156.20
2026-07-07   6618931167371                           1             127.20
2026-07-07   6618943193227                           1             179.10
2026-07-07   6619000864907                           1             241.20
2026-07-07   6619049164939                           1              87.20
2026-07-07   6619075379339                           1             127.20
2026-07-07   6619083636875                           1             110.40
2026-07-07   6619089698955                           1             233.10
2026-07-07   6619146092683                           1              89.49
2026-07-07   6619204911243                           1             199.00
2026-07-07   6619210809483                           1             103.20
2026-07-07   6619217297547                           1             119.20
2026-07-07   6619236728971                           1             152.10
2026-07-07   6619237384331                           1              55.20
2026-07-07   6619239448715                           1              86.40
2026-07-07   6619243479179                           1             159.00
2026-07-07   6619253342347                           1             179.00
2026-07-07   6619275559051                           1             127.20
2026-07-07   6619299643531                           1             134.40
2026-07-07   6619306754187                           1              87.20
2026-07-07   6619319730315                           1              71.20
2026-07-07   6619320451211                           1             259.00
2026-07-07   6619342176395                           1             248.00
2026-07-07   6619352105099                           1             387.00
2026-07-07   6619352957067                           1              63.20
2026-07-07   6619354562699                           1             166.40
2026-07-07   6619359969419                           1              79.20
2026-07-07   6619374321803                           1             412.80
2026-07-07   6619407483019                           1             268.00
2026-07-07   6619468365963                           1             119.20
2026-07-06   6615803232395                           1             317.00
2026-07-06   6616450760843                           1             135.20
2026-07-06   6616454856843                           1              71.20
2026-07-06   6616457642123                           1              71.20
2026-07-06   6616464359563                           1              79.20
2026-07-06   6616470388875                           1             129.00
2026-07-06   6616479301771                           1              71.20
2026-07-06   6616490311819                           1             149.60
2026-07-06   6616503517323                           1             357.40
2026-07-06   6616510431371                           1             103.20
2026-07-06   6616533237899                           1             127.20
2026-07-06   6616535793803                           1              71.20
2026-07-06   6616538382475                           1             111.20
2026-07-06   6616544084107                           1             127.20
2026-07-06   6616633704587                           1             219.00
2026-07-06   6616634753163                           1             197.10
2026-07-06   6616642420875                           1             218.00
2026-07-06   6616662376587                           1              79.20
2026-07-06   6616669913227                           1             158.40
2026-07-06   6616670797963                           1              71.20
2026-07-06   6616671289483                           1             298.00
2026-07-06   6616680726667                           1             103.20
2026-07-06   6616704417931                           1             134.40
2026-07-06   6616725782667                           1             405.60
2026-07-06   6616731713675                           1              87.20
2026-07-06   6616732696715                           1             171.16
2026-07-06   6616733286539                           1             135.20
2026-07-06   6616739315851                           1              63.20
2026-07-06   6616767856779                           1             368.00
2026-07-06   6616825561227                           1             189.96
2026-07-06   6616842043531                           1             238.40
2026-07-06   6616852037771                           1             219.00
2026-07-06   6616866947211                           1             246.20
2026-07-06   6616882184331                           1             169.00
2026-07-06   6616904171659                           1              71.20
2026-07-06   6616943001739                           1             271.44
2026-07-06   6616974295179                           1             278.00
2026-07-06   6616980783243                           1             142.40
2026-07-06   6617057394827                           1              71.20
2026-07-06   6617104842891                           1             190.40
2026-07-06   6617163923595                           1             103.20
2026-07-06   6617182044299                           1             111.20
2026-07-06   6617193185419                           1             293.60
