order_id,order_name,line_item_graphql_id,name,title,variant_title,sku,quantity,current_quantity,variant_graphql_id,variant_id,product_graphql_id,product_id,product_title,original_unit_price_shop_amount,original_unit_price_shop_currency,original_unit_price_presentment_amount,original_unit_price_presentment_currency,discounted_total_shop_amount,discounted_total_shop_currency,discounted_total_presentment_amount,discounted_total_presentment_currency
6606500200587,STE138301,gid://shopify/LineItem/16033782268043,Lola Blouse - Antoine Blue - M,Lola Blouse - Antoine Blue,M,STC442-M,1,1,gid://shopify/ProductVariant/43691656249483,43691656249483,gid://shopify/Product/7865910296715,7865910296715,Lola Blouse - Antoine Blue,59.0,AUD,59.0,AUD,59.0,AUD,59.0,AUD
6606500200587,STE138301,gid://shopify/LineItem/16033782300811,Evelyn Jacket - Bordeaux Check - M,Evelyn Jacket - Bordeaux Check,M,STC680-M,1,1,gid://shopify/ProductVariant/46038368190603,46038368190603,gid://shopify/Product/8095281086603,8095281086603,Evelyn Jacket - Bordeaux Check,199.0,AUD,199.0,AUD,199.0,AUD,199.0,AUD
6606500200587,STE138301,gid://shopify/LineItem/16033782333579,Alva Skirt - Navy - M,Alva Skirt - Navy,M,STC106N-M,1,1,gid://shopify/ProductVariant/42866117509259,42866117509259,gid://shopify/Product/7579273232523,7579273232523,Alva Skirt - Navy,69.0,AUD,69.0,AUD,69.0,AUD,69.0,AUD
6606579007627,STE138302,gid://shopify/LineItem/16033942962315,Livia Pant - Lapis Stripe - XS,Livia Pant - Lapis Stripe,XS,STC683-XS,1,1,gid://shopify/ProductVariant/45887960383627,45887960383627,gid://shopify/Product/8087227334795,8087227334795,Livia Pant - Lapis Stripe,169.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD
6606843019403,STE138303,gid://shopify/LineItem/16034517418123,Luella Mini Dress - Bluebell - XXL,Luella Mini Dress - Bluebell,XXL,STC776-XXL,1,1,gid://shopify/ProductVariant/46037255651467,46037255651467,gid://shopify/Product/8095257985163,8095257985163,Luella Mini Dress - Bluebell,169.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD
6606843019403,STE138303,gid://shopify/LineItem/16034517450891,Zelie Jacket - Navy Polka - XL,Zelie Jacket - Navy Polka,XL,STC238-XL,1,1,gid://shopify/ProductVariant/43292428992651,43292428992651,gid://shopify/Product/7718644809867,7718644809867,Zelie Jacket - Navy Polka,199.0,AUD,199.0,AUD,199.0,AUD,199.0,AUD
6606969307275,STE138304,gid://shopify/LineItem/16034799845515,Remi Blouse - Chalk - M,Remi Blouse - Chalk,M,STC379-M,1,1,gid://shopify/ProductVariant/43691659690123,43691659690123,gid://shopify/Product/7865910984843,7865910984843,Remi Blouse - Chalk,89.0,AUD,89.0,AUD,89.0,AUD,89.0,AUD
6606969307275,STE138304,gid://shopify/LineItem/16034799878283,Livia Pant - Ikaria Stripe - M,Livia Pant - Ikaria Stripe,M,STC506-M,1,1,gid://shopify/ProductVariant/45024014860427,45024014860427,gid://shopify/Product/8028920447115,8028920447115,Livia Pant - Ikaria Stripe,129.0,AUD,129.0,AUD,129.0,AUD,129.0,AUD
6607094251659,STE138305,gid://shopify/LineItem/16035068674187,Alva Skirt - Navy - L,Alva Skirt - Navy,L,STC106N-L,1,1,gid://shopify/ProductVariant/42866117542027,42866117542027,gid://shopify/Product/7579273232523,7579273232523,Alva Skirt - Navy,69.0,AUD,69.0,AUD,69.0,AUD,69.0,AUD
6607094251659,STE138305,gid://shopify/LineItem/16035068706955,Rosalia Dress - Antoine Blue - M,Rosalia Dress - Antoine Blue,M,STC441-M,1,1,gid://shopify/ProductVariant/43691656085643,43691656085643,gid://shopify/Product/7865910263947,7865910263947,Rosalia Dress - Antoine Blue,89.0,AUD,89.0,AUD,89.0,AUD,89.0,AUD
