order_graphql_id,order_id,order_name,created_at,created_at_melbourne,created_date_melbourne,processed_at,processed_at_melbourne,processed_date_melbourne,updated_at,cancelled_at,cancel_reason,test,confirmed,closed,edited,fully_paid,source_name,registered_source_url,attribution_handle,attribution_display_name,app_id,app_name,financial_status,fulfillment_status,payment_gateway_names,currency,presentment_currency,subtotal_line_items_quantity,return_status,shipping_country_code,line_item_count,current_subtotal_shop_amount,current_subtotal_shop_currency,current_subtotal_presentment_amount,current_subtotal_presentment_currency,current_total_discounts_shop_amount,current_total_discounts_shop_currency,current_total_discounts_presentment_amount,current_total_discounts_presentment_currency,current_total_tax_shop_amount,current_total_tax_shop_currency,current_total_tax_presentment_amount,current_total_tax_presentment_currency,current_shipping_price_shop_amount,current_shipping_price_shop_currency,current_shipping_price_presentment_amount,current_shipping_price_presentment_currency,current_total_shop_amount,current_total_shop_currency,current_total_presentment_amount,current_total_presentment_currency,total_received_shop_amount,total_received_shop_currency,total_received_presentment_amount,total_received_presentment_currency,total_refunded_shop_amount,total_refunded_shop_currency,total_refunded_presentment_amount,total_refunded_presentment_currency
gid://shopify/Order/6606500200587,6606500200587,STE138301,2026-06-30T14:13:02Z,2026-07-01T00:13:02+10:00,2026-07-01,2026-06-30T14:12:58Z,2026-07-01T00:12:58+10:00,2026-07-01,2026-07-02T21:32:04Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,3,NO_RETURN,AU,3,307.1,AUD,307.1,AUD,19.9,AUD,19.9,AUD,27.91,AUD,27.91,AUD,0.0,AUD,0.0,AUD,307.1,AUD,307.1,AUD,307.1,AUD,307.1,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6606579007627,6606579007627,STE138302,2026-06-30T15:12:54Z,2026-07-01T01:12:54+10:00,2026-07-01,2026-06-30T15:12:53Z,2026-07-01T01:12:53+10:00,2026-07-01,2026-07-06T05:18:11Z,,,False,True,True,False,True,4200331,,refundid,Refundid: Returns Portal,gid://shopify/App/4200331,Refundid: Returns Portal,PAID,FULFILLED,manual,AUD,AUD,1,NO_RETURN,AU,1,169.0,AUD,169.0,AUD,0.0,AUD,0.0,AUD,15.36,AUD,15.36,AUD,0.0,AUD,0.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD,169.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6606843019403,6606843019403,STE138303,2026-06-30T18:11:08Z,2026-07-01T04:11:08+10:00,2026-07-01,2026-06-30T18:11:04Z,2026-07-01T04:11:04+10:00,2026-07-01,2026-07-10T01:58:21Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,Airwallex Afterpay|shopify_payments,AUD,AUD,2,NO_RETURN,AU,2,331.2,AUD,331.2,AUD,36.8,AUD,36.8,AUD,30.11,AUD,30.11,AUD,0.0,AUD,0.0,AUD,331.2,AUD,331.2,AUD,331.2,AUD,331.2,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6606969307275,6606969307275,STE138304,2026-06-30T19:39:27Z,2026-07-01T05:39:27+10:00,2026-07-01,2026-06-30T19:39:22Z,2026-07-01T05:39:22+10:00,2026-07-01,2026-07-07T00:32:21Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,2,NO_RETURN,AU,2,218.0,AUD,218.0,AUD,0.0,AUD,0.0,AUD,20.91,AUD,20.91,AUD,12.0,AUD,12.0,AUD,230.0,AUD,230.0,AUD,230.0,AUD,230.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607094251659,6607094251659,STE138305,2026-06-30T21:02:01Z,2026-07-01T07:02:01+10:00,2026-07-01,2026-06-30T21:01:57Z,2026-07-01T07:01:57+10:00,2026-07-01,2026-07-02T22:41:33Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,2,NO_RETURN,AU,2,158.0,AUD,158.0,AUD,0.0,AUD,0.0,AUD,15.27,AUD,15.27,AUD,10.0,AUD,10.0,AUD,168.0,AUD,168.0,AUD,168.0,AUD,168.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607102869643,6607102869643,STE138306,2026-06-30T21:08:05Z,2026-07-01T07:08:05+10:00,2026-07-01,2026-06-30T21:08:01Z,2026-07-01T07:08:01+10:00,2026-07-01,2026-07-06T00:37:50Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,69.0,AUD,69.0,AUD,0.0,AUD,0.0,AUD,7.18,AUD,7.18,AUD,10.0,AUD,10.0,AUD,79.0,AUD,79.0,AUD,79.0,AUD,79.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607169028235,6607169028235,STE138307,2026-06-30T21:59:04Z,2026-07-01T07:59:04+10:00,2026-07-01,2026-06-30T21:58:59Z,2026-07-01T07:58:59+10:00,2026-07-01,2026-07-02T03:00:38Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,6,NO_RETURN,AU,6,620.4,AUD,620.4,AUD,53.6,AUD,53.6,AUD,56.4,AUD,56.4,AUD,0.0,AUD,0.0,AUD,620.4,AUD,620.4,AUD,620.4,AUD,620.4,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607180005515,6607180005515,STE138308,2026-06-30T22:07:50Z,2026-07-01T08:07:50+10:00,2026-07-01,2026-06-30T22:07:45Z,2026-07-01T08:07:45+10:00,2026-07-01,2026-07-08T08:34:14Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,2,NO_RETURN,AU,2,208.0,AUD,208.0,AUD,0.0,AUD,0.0,AUD,19.82,AUD,19.82,AUD,10.0,AUD,10.0,AUD,218.0,AUD,218.0,AUD,218.0,AUD,218.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607315861643,6607315861643,STE138309,2026-07-01T00:08:15Z,2026-07-01T10:08:15+10:00,2026-07-01,2026-07-01T00:08:11Z,2026-07-01T10:08:11+10:00,2026-07-01,2026-07-03T06:48:00Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,2,NO_RETURN,AU,2,228.0,AUD,228.0,AUD,0.0,AUD,0.0,AUD,21.81,AUD,21.81,AUD,12.0,AUD,12.0,AUD,240.0,AUD,240.0,AUD,240.0,AUD,240.0,AUD,0.0,AUD,0.0,AUD
gid://shopify/Order/6607327559819,6607327559819,STE138310,2026-07-01T00:19:33Z,2026-07-01T10:19:33+10:00,2026-07-01,2026-07-01T00:19:29Z,2026-07-01T10:19:29+10:00,2026-07-01,2026-07-06T23:05:21Z,,,False,True,True,False,True,web,,web,Online Store,gid://shopify/App/580111,Online Store,PAID,FULFILLED,shopify_payments,AUD,AUD,1,NO_RETURN,AU,1,259.0,AUD,259.0,AUD,0.0,AUD,0.0,AUD,23.55,AUD,23.55,AUD,0.0,AUD,0.0,AUD,259.0,AUD,259.0,AUD,259.0,AUD,259.0,AUD,0.0,AUD,0.0,AUD
