type_name,type_kind,field_name,field_type,is_required,description,args
LineItem,OBJECT,contract,SubscriptionContract,False,The subscription contract associated with this line item.,
LineItem,OBJECT,currentQuantity,Int!,True,"The number of units ordered, excluding refunded and removed units.",
LineItem,OBJECT,customAttributes,[Attribute!]!,True,A list of attributes that represent custom features or special requests.,
LineItem,OBJECT,discountAllocations,[DiscountAllocation!]!,True,"The discounts that have been allocated to the line item by discount applications, including discounts allocated to refunded and removed quantities.",
LineItem,OBJECT,discountedTotalSet,MoneyBag!,True,"The total discounted price of the line item in shop and presentment currencies, including refunded and removed quantities. This value doesn't include order-level discounts. Code-based discounts aren't included by default.",withCodeDiscounts: Boolean = false
LineItem,OBJECT,discountedUnitPriceAfterAllDiscountsSet,MoneyBag!,True,The approximate unit price of the line item in shop and presentment currencies. This value includes discounts applied to refunded and removed quantities.,
LineItem,OBJECT,discountedUnitPriceSet,MoneyBag!,True,The approximate unit price of the line item in shop and presentment currencies. This value includes line-level discounts and discounts applied to refunded and removed quantities. It doesn't include order-level or code-based discounts.,
LineItem,OBJECT,duties,[Duty!]!,True,The duties associated with the line item.,
LineItem,OBJECT,id,ID!,True,A globally-unique ID.,
LineItem,OBJECT,image,Image,False,The image associated to the line item's variant.,
LineItem,OBJECT,isGiftCard,Boolean!,True,Whether the line item represents the purchase of a gift card.,
LineItem,OBJECT,lineItemGroup,LineItemGroup,False,The line item group associated to the line item.,
LineItem,OBJECT,merchantEditable,Boolean!,True,Whether the line item can be edited or not.,
LineItem,OBJECT,name,String!,True,"The title of the product, optionally appended with the title of the variant (if applicable).",
LineItem,OBJECT,nonFulfillableQuantity,Int!,True,"The total number of units that can't be fulfilled. For example, if items have been refunded, or the item is not something that can be fulfilled, like a tip. Please see the [FulfillmentOrder](https://shopify.dev/api/admin-graphql/latest/objects/FulfillmentOrder) object for more fulfillment details.",
LineItem,OBJECT,originalTotalSet,MoneyBag!,True,"In shop and presentment currencies, the total price of the line item when the order was created.
This value doesn't include discounts.",
LineItem,OBJECT,originalUnitPriceSet,MoneyBag!,True,"In shop and presentment currencies, the unit price of the line item when the order was created. This value doesn't include discounts.",
LineItem,OBJECT,priceAfterAllDiscountsBeforeTaxesSet,MoneyBag!,True,"The total price of the line item in shop and presentment currencies,
after all discounts are applied and excluding refunded and removed quantities.
This value doesn't include taxes.",
LineItem,OBJECT,product,Product,False,The Product object associated with this line item's variant.,
LineItem,OBJECT,quantity,Int!,True,"The number of units ordered, including refunded and removed units.",
LineItem,OBJECT,refundableQuantity,Int!,True,"The number of units ordered, excluding refunded units and removed units.",
LineItem,OBJECT,requiresShipping,Boolean!,True,Whether physical shipping is required for the variant.,
LineItem,OBJECT,restockable,Boolean!,True,Whether the line item can be restocked.,
LineItem,OBJECT,sellingPlan,LineItemSellingPlan,False,The selling plan details associated with the line item.,
LineItem,OBJECT,sku,String,False,The variant SKU number.,
LineItem,OBJECT,staffMember,StaffMember,False,Staff attributed to the line item.,
LineItem,OBJECT,suggestedReturnReasonDefinitions,ReturnReasonDefinitionConnection,False,Return reasons suggested based on the line item's product category in Shopify's product taxonomy. Use [`returnReasonDefinitions`](https://shopify.dev/docs/api/admin-graphql/latest/queries/returnReasonDefinitions) to access the full library of available reasons.,"first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
LineItem,OBJECT,taxLines,[TaxLine!]!,True,"The taxes charged for the line item, including taxes charged for refunded and removed quantities.",first: Int
LineItem,OBJECT,taxable,Boolean!,True,Whether the variant is taxable.,
LineItem,OBJECT,title,String!,True,The title of the product at time of order creation.,
LineItem,OBJECT,totalDiscountSet,MoneyBag!,True,"The total discount allocated to the line item in shop and presentment currencies, including the total allocated to refunded and removed quantities. This value doesn't include order-level discounts.",
LineItem,OBJECT,unfulfilledDiscountedTotalSet,MoneyBag!,True,"In shop and presentment currencies, the total discounted price of the unfulfilled quantity for the line item.",
LineItem,OBJECT,unfulfilledOriginalTotalSet,MoneyBag!,True,"In shop and presentment currencies, the total price of the unfulfilled quantity for the line item. This value doesn't include discounts.",
LineItem,OBJECT,unfulfilledQuantity,Int!,True,The number of units not yet fulfilled.,
LineItem,OBJECT,variant,ProductVariant,False,The Variant object associated with this line item.,
LineItem,OBJECT,variantTitle,String,False,The title of the variant at time of order creation.,
LineItem,OBJECT,vendor,String,False,The name of the vendor who made the variant.,
LineItem,OBJECT,weight,Weight,False,The weight of a line item unit.,
