type_name,type_kind,field_name,field_type,is_required,description,args
Product,OBJECT,availablePublicationsCount,Count,False,"The number of
[publications](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication)
that a resource is published to, without
[feedback errors](https://shopify.dev/docs/api/admin-graphql/latest/objects/ResourceFeedback).",
Product,OBJECT,bundleComponents,ProductBundleComponentConnection!,True,"A list of [components](https://shopify.dev/docs/apps/build/product-merchandising/bundles/add-product-fixed-bundle)
that are associated with a product in a bundle.","first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
Product,OBJECT,bundleConsolidatedOptions,[ComponentizedProductsBundleConsolidatedOption!],False,A list of consolidated options for a product in a bundle.,
Product,OBJECT,category,TaxonomyCategory,False,"The category of a product
from [Shopify's Standard Product Taxonomy](https://shopify.github.io/product-taxonomy/releases/unstable/?categoryId=sg-4-17-2-17).",
Product,OBJECT,collections,CollectionConnection!,True,"A list of [collections](https://shopify.dev/docs/api/admin-graphql/latest/objects/Collection)
that include the product.","first: Int, after: String, last: Int, before: String, reverse: Boolean = false, sortKey: CollectionSortKeys = ID, query: String"
Product,OBJECT,combinedListing,CombinedListing,False,"A special product type that combines separate products from a store into a single product listing.
[Combined listings](https://shopify.dev/apps/build/product-merchandising/combined-listings) are connected
by a shared option, such as color, model, or dimension.",
Product,OBJECT,combinedListingRole,CombinedListingsRole,False,"The [role of the product](https://shopify.dev/docs/apps/build/product-merchandising/combined-listings/build-for-combined-listings)
in a combined listing.

If `null`, then the product isn't part of any combined listing.",
Product,OBJECT,compareAtPriceRange,ProductCompareAtPriceRange,False,"The [compare-at price range](https://help.shopify.com/manual/products/details/product-pricing/sale-pricing)
of the product in the shop's default currency.",
Product,OBJECT,contextualPricing,ProductContextualPricing!,True,"The pricing that applies to a customer in a specific context. For example, a price might vary depending on the customer's location. Only active markets are considered in the price resolution.",context: ContextualPricingContext!
Product,OBJECT,createdAt,DateTime!,True,The date and time when the product was created.,
Product,OBJECT,defaultCursor,String!,True,"A default [cursor](https://shopify.dev/api/usage/pagination-graphql) that returns the single next record, sorted ascending by ID.",
Product,OBJECT,description,String!,True,"A single-line description of the product,
with [HTML tags](https://developer.mozilla.org/en-US/docs/Web/HTML) removed.",truncateAt: Int
Product,OBJECT,descriptionHtml,HTML!,True,"The description of the product, with
HTML tags. For example, the description might include
bold `<strong></strong>` and italic `<i></i>` text.",
Product,OBJECT,events,EventConnection!,True,The paginated list of events associated with the host subject.,"first: Int, after: String, last: Int, before: String, reverse: Boolean = false, sortKey: EventSortKeys = ID, query: String"
Product,OBJECT,featuredMedia,Media,False,"The featured [media](https://shopify.dev/docs/apps/build/online-store/product-media)
associated with the product.",
Product,OBJECT,feedback,ResourceFeedback,False,"The information that lets merchants know what steps they need to take
to make sure that the app is set up correctly.

For example, if a merchant hasn't set up a product correctly in the app,
then the feedback might include a message that says ""You need to add a price
to this product"".",
Product,OBJECT,giftCardSettings,GiftCardProductSettings,False,The gift card settings for this product. Only available on gift card products.,
Product,OBJECT,giftCardTemplateSuffix,String,False,The [theme template](https://shopify.dev/docs/storefronts/themes/architecture/templates) that's used when customers view the gift card in a store.,
Product,OBJECT,handle,String!,True,"A unique, human-readable string of the product's title. A handle can contain letters, hyphens (`-`), and numbers, but no spaces.
The handle is used in the online store URL for the product.",
Product,OBJECT,hasOnlyDefaultVariant,Boolean!,True,Whether the product has only a single variant with the default option and value.,
Product,OBJECT,hasOutOfStockVariants,Boolean!,True,Whether the product has variants that are out of stock.,
Product,OBJECT,hasVariantsThatRequiresComponents,Boolean!,True,"Whether at least one of the product variants requires
[bundle components](https://shopify.dev/docs/apps/build/product-merchandising/bundles/add-product-fixed-bundle).

Learn more about
[store eligibility for bundles](https://shopify.dev/docs/apps/build/product-merchandising/bundles#store-eligibility).",
Product,OBJECT,id,ID!,True,A globally-unique ID.,
Product,OBJECT,inCollection,Boolean!,True,"Whether the product
is in a specified
[collection](https://shopify.dev/docs/api/admin-graphql/latest/objects/collection).",id: ID!
Product,OBJECT,isGiftCard,Boolean!,True,Whether the product is a gift card.,
Product,OBJECT,legacyResourceId,UnsignedInt64!,True,The ID of the corresponding resource in the REST Admin API.,
Product,OBJECT,media,MediaConnection!,True,"The [media](https://shopify.dev/docs/apps/build/online-store/product-media) associated with the product. Valid media are images, 3D models, videos.","first: Int, after: String, last: Int, before: String, reverse: Boolean = false, sortKey: ProductMediaSortKeys = POSITION, query: String"
Product,OBJECT,mediaCount,Count,False,"The total count of [media](https://shopify.dev/docs/apps/build/online-store/product-media)
that's associated with a product.",
Product,OBJECT,metafield,Metafield,False,"A [custom field](https://shopify.dev/docs/apps/build/custom-data),
including its `namespace` and `key`, that's associated with a Shopify resource
for the purposes of adding and storing additional information.","namespace: String, key: String!"
Product,OBJECT,metafields,MetafieldConnection!,True,"A list of [custom fields](https://shopify.dev/docs/apps/build/custom-data)
that a merchant associates with a Shopify resource.","namespace: String, keys: [String!], first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
Product,OBJECT,onlineStorePreviewUrl,URL,False,The [preview URL](https://help.shopify.com/manual/online-store/setting-up#preview-your-store) for the online store.,
Product,OBJECT,onlineStoreUrl,URL,False,"The product's URL on the online store.
If `null`, then the product isn't published to the online store sales channel.",
Product,OBJECT,options,[ProductOption!]!,True,"A list of product options. The limit is defined by the
[shop's resource limits for product options](https://shopify.dev/docs/api/admin-graphql/latest/objects/Shop#field-resourcelimits) (`Shop.resourceLimits.maxProductOptions`).",first: Int
Product,OBJECT,priceRangeV2,ProductPriceRangeV2!,True,"The minimum and maximum prices of a product, expressed in decimal numbers.
For example, if the product is priced between $10.00 and $50.00,
then the price range is $10.00 - $50.00.",
Product,OBJECT,productComponents,ProductComponentTypeConnection!,True,"A list of products that contain at least one variant associated with
at least one of the current products' variants via group relationship.","first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
Product,OBJECT,productComponentsCount,Count,False,"A count of unique products that contain at least one variant associated with
at least one of the current products' variants via group relationship.",
Product,OBJECT,productParents,ProductConnection!,True,A list of products that has a variant that contains any of this product's variants as a component.,"first: Int, after: String, last: Int, before: String, reverse: Boolean = false, query: String"
Product,OBJECT,productType,String!,True,"The [product type](https://help.shopify.com/manual/products/details/product-type)
that merchants define.",
Product,OBJECT,publishedAt,DateTime,False,The date and time when the product was published to the online store.,
Product,OBJECT,publishedInContext,Boolean!,True,"Whether the product is published for a customer only in a specified context. For example, a product might be published for a customer only in a specific location.",context: ContextualPublicationContext!
Product,OBJECT,publishedOnPublication,Boolean!,True,"Whether the resource is published to a specified
[publication](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication).",publicationId: ID!
Product,OBJECT,requiresSellingPlan,Boolean!,True,"Whether the product can only be purchased with
a [selling plan](https://shopify.dev/docs/apps/build/purchase-options/subscriptions/selling-plans).
Products that are sold on subscription (`requiresSellingPlan: true`) can be updated only for online stores.
If you update a product to be subscription-only (`requiresSellingPlan:false`), then the product is unpublished from all channels, except the online store.",
Product,OBJECT,resourcePublications,ResourcePublicationConnection!,True,"The list of resources that are published to a
[publication](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication).","onlyPublished: Boolean = true, first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
Product,OBJECT,resourcePublicationsCount,Count,False,"The total number of
[publications](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication)
that a resource is published to, including publications with
[feedback errors](https://shopify.dev/docs/api/admin-graphql/latest/objects/ResourceFeedback).
To get a count that excludes publications with feedback errors, use `availablePublicationsCount`.",onlyPublished: Boolean = true
Product,OBJECT,resourcePublicationsV2,ResourcePublicationV2Connection!,True,"The list of resources that are either published or staged to be published to a
[publication](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication).
By default, only publications to `APP` catalog types are returned.
For `Product` and `ProductVariant`, use the `catalogType` argument to retrieve
publications for other catalog types, such as `COMPANY_LOCATION` (B2B) or `MARKET`.
`Collection` only supports publications to `APP` catalog types.","onlyPublished: Boolean = true, catalogType: CatalogType, first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
Product,OBJECT,restrictedForResource,RestrictedForResource,False,"Whether the merchant can make changes to the product when they
[edit the order](https://shopify.dev/docs/apps/build/orders-fulfillment/order-management-apps/edit-orders)
associated with the product. For example, a merchant might be restricted from changing product details when they
edit an order.",calculatedOrderId: ID!
Product,OBJECT,sellingPlanGroups,SellingPlanGroupConnection!,True,"A list of all [selling plan groups](https://shopify.dev/docs/apps/build/purchase-options/subscriptions/selling-plans/build-a-selling-plan)
that are associated with the product either directly, or through the product's variants.","first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
Product,OBJECT,sellingPlanGroupsCount,Count,False,"A count of [selling plan groups](https://shopify.dev/docs/apps/build/purchase-options/subscriptions/selling-plans/build-a-selling-plan)
that are associated with the product.",
Product,OBJECT,seo,SEO!,True,"The [SEO title and description](https://help.shopify.com/manual/promoting-marketing/seo/adding-keywords)
that are associated with a product.",
Product,OBJECT,status,ProductStatus!,True,"The [product status](https://help.shopify.com/manual/products/details/product-details-page#product-status),
which controls visibility across all sales channels.",
Product,OBJECT,tags,[String!]!,True,"A comma-separated list of searchable keywords that are
associated with the product. For example, a merchant might apply the `sports`
and `summer` tags to products that are associated with sportwear for summer.

Updating `tags` overwrites
any existing tags that were previously added to the product. To add new tags without overwriting
existing tags, use the [`tagsAdd`](https://shopify.dev/api/admin-graphql/latest/mutations/tagsadd)
mutation.",
Product,OBJECT,templateSuffix,String,False,The [theme template](https://shopify.dev/docs/storefronts/themes/architecture/templates) that's used when customers view the product in a store.,
Product,OBJECT,title,String!,True,"The name for the product that displays to customers. The title is used to construct the product's handle.
For example, if a product is titled ""Black Sunglasses"", then the handle is `black-sunglasses`.",
Product,OBJECT,totalInventory,Int!,True,The quantity of inventory that's in stock.,
Product,OBJECT,tracksInventory,Boolean!,True,"Whether [inventory tracking](https://help.shopify.com/manual/products/inventory/getting-started-with-inventory/set-up-inventory-tracking)
has been enabled for the product.",
Product,OBJECT,translations,[Translation!]!,True,The published translations associated with the resource.,"locale: String!, marketId: ID"
Product,OBJECT,unpublishedPublications,PublicationConnection!,True,"The list of [publications](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication)
that the resource isn't published to.","first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
Product,OBJECT,updatedAt,DateTime!,True,"The date and time when the product was last modified.
A product's `updatedAt` value can change for different reasons. For example, if an order
is placed for a product that has inventory tracking set up, then the inventory adjustment
is counted as an update.",
Product,OBJECT,variants,ProductVariantConnection!,True,"A list of [variants](https://shopify.dev/docs/api/admin-graphql/latest/objects/ProductVariant) associated with the product.
If querying a single product at the root, you can fetch up to 2048 variants.","first: Int, after: String, last: Int, before: String, reverse: Boolean = false, sortKey: ProductVariantSortKeys = POSITION"
